Date,Open,High,Low,Close,Adj Close,Volume
2016-09-28,19.682600,20.430000,19.682600,20.320400,19.806093,1684748
2016-09-29,20.370300,20.888500,19.862000,19.891899,19.388437,2672820
2016-09-30,19.941700,20.350300,19.832100,20.121099,19.611835,1598153
2016-10-03,20.031401,20.609400,20.001499,20.529699,20.010094,1342982
2016-10-04,20.629400,20.699100,19.901899,20.450001,19.932411,1959787
2016-10-05,20.450001,20.679199,20.360300,20.529699,20.010094,1027706
2016-10-06,20.459900,20.559601,20.091200,20.519699,20.021070,1039547
2016-10-07,20.459900,20.669201,20.240700,20.579500,20.079418,1171698
2016-10-10,20.609400,20.649300,20.250700,20.440001,19.943308,3260425
2016-10-11,20.569599,20.669201,20.210800,20.479900,19.982239,1464798
2016-10-13,20.340401,20.589500,20.131100,20.559601,20.060003,2497522
2016-10-14,20.798800,20.918400,20.499800,20.579500,20.079418,2378014
2016-10-17,20.679199,20.808800,20.430000,20.729000,20.225286,1743449
2016-10-18,20.768900,21.466499,20.609400,21.446600,20.925449,2159569
2016-10-19,21.446600,21.566200,21.028000,21.147600,20.633713,1261805
2016-10-20,21.127701,21.147600,20.639299,20.868500,20.361395,1792516
2016-10-21,20.878500,21.267200,20.768900,21.177500,20.662886,1192469
2016-10-24,21.277100,21.416700,21.067900,21.227301,20.711475,1290704
2016-10-25,21.247200,21.406700,20.689199,20.868500,20.361395,1013959
2016-10-26,20.679199,20.798800,20.250700,20.798800,20.293386,988171
2016-10-27,20.798800,21.087799,20.479900,20.729000,20.225286,1780375
2016-10-28,20.729000,20.798800,20.390200,20.479900,19.982239,1951860
2016-10-31,20.459900,20.768900,20.340401,20.629400,20.128103,1948348
2016-11-01,20.798800,20.798800,19.682600,19.842100,19.359936,1974437
2016-11-03,19.832100,20.011499,19.353701,19.582899,19.107035,1986679
2016-11-04,19.662701,20.121099,19.493299,19.533100,19.058445,1544871
2016-11-07,19.891899,20.380199,19.523199,20.141001,19.651573,1771846
2016-11-08,20.220800,20.479900,19.822100,20.290501,19.797440,1433290
2016-11-09,19.822100,20.220800,19.234100,19.881901,19.398769,2268540
2016-11-10,19.802200,19.951700,18.357100,18.606300,18.154167,3254405
2016-11-11,17.938601,18.805599,17.031700,17.031700,16.617830,5129804
